video,distortion,trend,severity,error,error_pct,tp,fp,fn,ssim,psnr
0001,gaussian_noise,rises,16.0,0.42870015769317416,42.87001576931742,2536,329,1574,0.520168880308432,24.115226349685457
0001,gaussian_noise,rises,24.0,0.522975432211101,52.2975432211101,2097,286,2013,0.3546068387449785,20.72128534253049
0001,gaussian_noise,rises,32.0,0.5922776373247529,59.22776373247529,1774,241,2336,0.25759765057511386,18.401054301560805
0001,gaussian_noise,rises,48.0,0.7089848308051342,70.89848308051342,1247,175,2863,0.15691903242923413,15.30532397422148
0001,gaussian_noise,rises,64.0,0.781831019063309,78.1831019063309,927,139,3183,0.10758975689132536,13.245208266428037
0001,gaussian_noise,rises,80.0,0.8946364719904648,89.46364719904648,442,85,3668,0.07951293513098652,11.755359478550275
0001,horizontal_shift,flat,0.0,0.0,0.0,4110,0,0,1.0,inf
0001,horizontal_shift,flat,1.0,0.07060755336617405,7.060755336617405,3962,153,148,0.8822567834194699,30.643790892272197
0001,horizontal_shift,flat,2.0,0.055030703826169106,5.503070382616911,4001,124,109,0.7602108245863275,26.84663756293324
0001,horizontal_shift,flat,4.0,0.052731142113974935,5.273114211397494,4006,119,104,0.6582248021815122,24.239264596323043
0001,horizontal_shift,flat,6.0,0.06539637732298283,6.539637732298282,3973,141,137,0.6142058978496767,22.947092036391034
0001,horizontal_shift,flat,8.0,0.04764173415912339,4.76417341591234,3998,88,112,0.5967998637528746,22.087850340433732
0001,horizontal_shift,flat,12.0,0.0689818095913064,6.89818095913064,3941,123,169,0.5788772559970652,20.733446341754536
0001,horizontal_shift,flat,16.0,0.058991436726926735,5.899143672692674,3956,94,154,0.5632324371612581,19.72736235011303
0001,horizontal_shift,flat,24.0,0.08524745441629174,8.524745441629173,3863,113,247,0.5559777727317,18.51443946516884
0001,horizontal_shift,flat,32.0,0.1024551463644948,10.24551463644948,3802,126,308,0.5476604415945676,17.69688347688563
0001,horizontal_shift,flat,48.0,0.1493202062822316,14.93202062822316,3629,156,481,0.5392673515120776,16.512040795260756
0001,horizontal_shift,flat,64.0,0.18814192343604108,18.81419234360411,3478,174,632,0.535061334366987,15.849319660711998
0001,identity,anchor_low,0.0,0.0,0.0,4110,0,0,1.0,inf
0001,jpeg,rises,95.0,0.12738560588641068,12.738560588641068,3795,239,315,0.9889903503270161,43.3710669061755
0001,jpeg,rises,90.0,0.1710974778459441,17.109747784594408,3648,291,462,0.9787886010074497,41.01343244395271
0001,jpeg,rises,80.0,0.21912260967379077,21.912260967379076,3471,335,639,0.9614619635948604,38.52239155451117
0001,jpeg,rises,70.0,0.24596774193548387,24.596774193548388,3366,354,744,0.9477098451244742,37.12147348517243
0001,jpeg,rises,60.0,0.2792511700468019,27.92511700468019,3234,377,876,0.9339144164547587,36.127227420294474
0001,jpeg,rises,50.0,0.29530798309984435,29.530798309984434,3169,387,941,0.9224449317383097,35.40921568939178
0001,jpeg,rises,40.0,0.3251231527093596,32.51231527093596,3014,356,1096,0.9084572707107816,34.652686924051864
0001,jpeg,rises,30.0,0.35241502683363146,35.241502683363144,2896,362,1214,0.8909203585084869,33.77386143460055
0001,jpeg,rises,20.0,0.40004502476361997,40.004502476362,2665,332,1445,0.8615801541903283,32.34643467194253
0001,jpeg,rises,15.0,0.46877113866967307,46.877113866967306,2356,325,1754,0.8370611038352223,31.092112711262402
0001,jpeg,rises,10.0,0.5289275097187286,52.89275097187286,2060,263,2050,0.7995424296478945,29.41396182235362
0001,jpeg,rises,5.0,0.691895668374476,69.1895668374476,1323,184,2787,0.734228726175173,26.61844932001955
0001,occlusion_patch,rises,0.0,0.0009725261366399222,0.09725261366399222,4109,3,1,0.9999499762051269,66.72831739082625
0001,occlusion_patch,rises,0.02,0.044145873320537425,4.414587332053743,3984,58,126,0.9861906399502347,30.062786714856433
0001,occlusion_patch,rises,0.05,0.08417025346724055,8.417025346724055,3830,72,280,0.966989382942296,26.038370179106245
0001,occlusion_patch,rises,0.1,0.1373574144486692,13.73574144486692,3630,98,480,0.9336720066013978,22.237172346168215
0001,occlusion_patch,rises,0.15,0.2016431924882629,20.16431924882629,3401,150,709,0.9064657155923554,20.621093727072253
0001,occlusion_patch,rises,0.2,0.2796296296296296,27.962962962962962,3112,210,998,0.8762293869715656,19.487262173025105
0001,occlusion_patch,rises,0.3,0.42067695141607186,42.06769514160719,2516,233,1594,0.8220467794331017,17.757440749054467
0001,occlusion_patch,rises,0.4,0.5856251444418766,58.56251444418766,1793,217,2317,0.7669263755734017,16.361011836099244
0001,occlusion_patch,rises,0.5,0.6873101191867259,68.73101191867259,1338,169,2772,0.7157010489937075,15.195529229661531
0001,occlusion_patch,rises,0.6,0.7967020023557126,79.67020023557126,863,135,3247,0.6727465439643221,14.22503911004749
0001,scramble,anchor_high,1.0,0.9687121028377396,96.87121028377396,129,13,3981,0.3720241407671614,10.896702616979411
0001,vertical_shift,rises,0.0,0.0,0.0,4110,0,0,1.0,inf
0001,vertical_shift,rises,0.5,0.21104185218165628,21.10418521816563,3544,382,566,0.9377272152053224,35.41064891539852
0001,vertical_shift,rises,1.0,0.09211753731343283,9.211753731343283,3893,178,217,0.7906968304200787,29.428391524616945
0001,vertical_shift,rises,1.5,0.23441340782122905,23.441340782122904,3426,365,684,0.7825163973507596,28.60796994114098
0001,vertical_shift,rises,2.0,0.15947157348431235,15.947157348431235,3563,129,547,0.7195488105555313,26.621908666592436
0001,vertical_shift,rises,2.5,0.4781714285714286,47.817142857142855,2283,265,1827,0.7000506039250799,26.241213498271343
0001,vertical_shift,rises,3.0,0.7327810650887574,73.27810650887574,1129,115,2981,0.635003302046173,25.03942317743783
0001,vertical_shift,rises,4.0,0.9455066921606119,94.5506692160612,228,74,3882,0.6534514718399039,24.23251652920318
0001,vertical_shift,rises,5.0,0.9944817658349329,99.4481765834933,23,58,4087,0.6161891284088983,23.424723346981395
0001,vertical_shift,rises,6.0,0.996124969726326,99.6124969726326,16,19,4094,0.6221123113243276,22.837178510693825
0001,vertical_shift,rises,8.0,0.997569275644142,99.7569275644142,10,4,4100,0.6018790617688421,21.841275568264933
0002,brightness_gamma,flat,1.0,0.09319899244332494,9.319899244332493,2520,113,146,0.9988930883211637,57.04316977327111
0002,brightness_gamma,flat,1.1,0.08405172413793104,8.405172413793103,2550,118,116,0.992389871635131,29.69924731243503
0002,brightness_gamma,flat,1.25,0.13885936946510805,13.885936946510805,2431,157,235,0.958618932609584,22.567166400739584
0002,brightness_gamma,flat,1.4,0.17105713308244955,17.105713308244955,2423,257,243,0.9039658655682975,19.135783269464802
0002,brightness_gamma,flat,1.6,0.19898132427843804,19.898132427843805,2359,279,307,0.8140872937835697,16.43580082445762
0002,brightness_gamma,flat,1.8,0.24816544362908605,24.816544362908605,2254,332,412,0.718787378420408,14.684891168837275
0002,brightness_gamma,flat,2.0,0.2819324950363997,28.193249503639972,2170,356,496,0.6283655942250701,13.45552659152473
0002,brightness_gamma,flat,2.25,0.32086614173228345,32.08661417322835,2070,382,596,0.5251157069145607,12.323764855115776
0002,brightness_gamma,flat,2.5,0.34410019775873435,34.41001977587344,1990,368,676,0.43962095929023304,11.500670920158953
0002,brightness_gamma,flat,3.0,0.38929521276595747,38.92952127659575,1837,342,829,0.3115810511388769,10.375375576742293
0002,contrast_fade,rises,1.0,0.0,0.0,2666,0,0,1.0,inf
0002,contrast_fade,rises,0.9,0.13138429024304332,13.138429024304333,2466,173,200,0.996473820298754,34.699908175161795
0002,contrast_fade,rises,0.8,0.16625831291564577,16.625831291564577,2382,191,284,0.9884910047593906,28.730179735995304
0002,contrast_fade,rises,0.7,0.21844660194174756,21.844660194174757,2254,218,412,0.9763420781716106,25.21593383982063
0002,contrast_fade,rises,0.6,0.26666666666666666,26.666666666666668,2112,214,554,0.9598585887550135,22.720762334928583
0002,contrast_fade,rises,0.5,0.32562154696132595,32.562154696132595,1953,230,713,0.939278307342754,20.784877162369696
0002,contrast_fade,rises,0.4,0.3944793850454228,39.44793850454228,1733,196,933,0.9140865261610863,19.201114605074306
